incident_id,date,clinic_id,country,category,description,status,patient_id,satisfaction_score
HC-000016,2026-01-17,US-GA-03,US,BILLING,Unexpected charge appeared on the monthly statement,DISCARDED,PAT-000016,
HC-000027,2026-01-28,US-FL-02,US,BILLING,Unexpected charge appeared on the monthly statement,DISCARDED,PAT-000027,
HC-000044,2026-01-17,US-FL-03,US,APPOINTMENT,Waited over an hour past scheduled appointment time,CLOSED,PAT-000044,4
HC-000002,2026-01-03,US-FL-01,US,BILLING,Unexpected charge appeared on the monthly statement,CLOSED,PAT-000002,2
HC-000050,2026-01-23,US-FL-02,US,ACCESSIBILITY,Language support was unavailable during check-in,CLOSED,PAT-000050,4
HC-000070,2026-01-15,US-TX-03,US,ADMINISTRATIVE,Referral paperwork delayed more than two weeks,CLOSED,PAT-000070,3
HC-000031,2026-01-04,US-FL-02,US,CLINICAL_CARE,Concern about follow-up instructions after visit,CLOSED,PAT-000031,2
HC-000048,2026-01-21,UK-MAN-01,UK,APPOINTMENT,Waited over an hour past scheduled appointment time,CLOSED,PAT-000048,4
HC-000041,2026-01-14,US-FL-02,US,CLINICAL_CARE,Concern about follow-up instructions after visit,CLOSED,PAT-000041,1
HC-000067,2026-01-12,US-TX-01,US,CLINICAL_CARE,Concern about follow-up instructions after visit,OPEN,PAT-000067,
HC-000012,2026-01-13,US-TX-02,US,BILLING,Unexpected charge appeared on the monthly statement,OPEN,PAT-000012,
HC-000079,2026-01-24,US-FL-02,US,BILLING,Unexpected charge appeared on the monthly statement,OPEN,PAT-000079,
HC-000042,2026-01-15,UK-MAN-01,UK,ACCESSIBILITY,Language support was unavailable during check-in,CLOSED,PAT-000042,4
HC-000093,2026-01-10,US-TX-03,US,CLINICAL_CARE,Concern about follow-up instructions after visit,OPEN,PAT-000093,
HC-000073,2026-01-18,UK-LON-02,UK,ADMINISTRATIVE,Referral paperwork delayed more than two weeks,DISCARDED,PAT-000073,
HC-000019,2026-01-20,US-FL-03,US,BILLING,Unexpected charge appeared on the monthly statement,CLOSED,PAT-000019,4
HC-000063,2026-01-08,UK-MAN-01,UK,CLINICAL_CARE,Concern about follow-up instructions after visit,OPEN,PAT-000063,
HC-000006,2026-01-07,US-FL-02,US,APPOINTMENT,Waited over an hour past scheduled appointment time,OPEN,PAT-000006,
HC-000084,2026-01-01,UK-MAN-01,UK,APPOINTMENT,Waited over an hour past scheduled appointment time,CLOSED,PAT-000084,5
HC-000055,2026-01-28,US-FL-02,US,ACCESSIBILITY,Language support was unavailable during check-in,OPEN,PAT-000055,
HC-000083,2026-01-28,UK-LON-01,UK,APPOINTMENT,Waited over an hour past scheduled appointment time,CLOSED,PAT-000083,4
HC-000072,2026-01-17,US-TX-01,US,APPOINTMENT,Waited over an hour past scheduled appointment time,CLOSED,PAT-000072,4
HC-000018,2026-01-19,US-TX-03,US,ADMINISTRATIVE,Referral paperwork delayed more than two weeks,CLOSED,PAT-000018,1
HC-000080,2026-01-25,US-FL-03,US,APPOINTMENT,Waited over an hour past scheduled appointment time,DISCARDED,PAT-000080,
HC-000056,2026-01-01,US-TX-01,US,APPOINTMENT,Waited over an hour past scheduled appointment time,CLOSED,PAT-000056,4
HC-000054,2026-01-27,US-GA-01,US,BILLING,Unexpected charge appeared on the monthly statement,CLOSED,PAT-000054,4
HC-000011,2026-01-12,US-GA-02,US,APPOINTMENT,Waited over an hour past scheduled appointment time,OPEN,PAT-000011,
HC-000089,2026-01-06,US-GA-03,US,CLINICAL_CARE,Concern about follow-up instructions after visit,CLOSED,PAT-000089,5
HC-000081,2026-01-26,US-TX-01,US,BILLING,Unexpected charge appeared on the monthly statement,DISCARDED,PAT-000081,
